CommunityName,BeachName,BeachCountrycode,BeachRegionalSea,BeachLength_m,BeachLocation,BeachType,EventDate,EventYear,EventType,lon_x1,lat_y1,lon_x2,lat_y2
Surfrider Foundation Europe," Avenue de la Plage, 40480 messanges, France",FR,North-east Atlantic Ocean,80,,,20150322,2015,Cleanup,-1.41404,43.7883,-1.41304,43.7883
Surfrider Foundation Europe,"Plage de Trestraou, 22700 Perros-Guirec, France",FR,North-east Atlantic Ocean,73,,,20150322,2015,Cleanup,-3.45618,48.8165,-3.45518,48.8165
Surfrider Foundation Europe,"ER1-2 Flores, Azores 9970, Portugal",PT,North-east Atlantic Ocean,87,,,20150322,2015,Cleanup,-31.1488,39.4749,-31.1478,39.4749
Surfrider Foundation Europe,"D80 Brando, 20222 Brando, France",FR,Mediterranean Sea,82,,,20150322,2015,Cleanup,9.46545,42.7575,9.46645,42.7575
Surfrider Foundation Europe,"plage de kerler, 29170 Fouesnant, France",FR,North-east Atlantic Ocean,74,,,20150322,2015,Cleanup,-4.05337,47.8542,-4.05237,47.8542
Surfrider Foundation Europe,"via luigi sturzo, marina di Gioiosa Jonica RC, Italy, 89046 Marina di Gioiosa Ionica, Italie",IT,Mediterranean Sea,89,,,20150322,2015,Cleanup,16.3344,38.3022,16.3354,38.3022
Surfrider Foundation Europe,"Plage du moulin, 22680 ?tables-sur-Mer, France",FR,North-east Atlantic Ocean,73,,,20150322,2015,Cleanup,-2.82594,48.6366,-2.82494,48.6366
Surfrider Foundation Europe,"Strand Elmenhorst, 18119 Elmenhorst, Allemagne",DE,Baltic Sea,64,,,20150323,2015,Cleanup,11.9981,54.1748,11.9991,54.1748
Marnoba,"A Lanzada, Pontevedra",ES,North-east Atlantic Ocean,100,Rural,Sandy,20150323,2015,Cleanup,-8.8783333,42.45138889,-8.8773333,42.45138889
Surfrider Foundation Europe,"37 Haagweg, 2681 PB Monster, Pays-Bas",NL,North-east Atlantic Ocean,68,,,20150324,2015,Cleanup,4.19092,52.0392,4.19192,52.0392
Surfrider Foundation Europe,tsy,FR,North-east Atlantic Ocean,860,,,20150324,2015,Cleanup,-1.658961013,43.40076782,-1.649971507,43.40489856
Surfrider Foundation Europe,"23 Route de Mousterian, 56860 S?n?, France",FR,North-east Atlantic Ocean,74,,,20150325,2015,Cleanup,-2.73878,47.606,-2.73778,47.606
Surfrider Foundation Europe,La Barre,FR,North-east Atlantic Ocean,100,Near river mouth,Sandy,20150326,2015,Cleanup,-1.524109783,43.52656849,-1.523399028,43.52730107
Surfrider Foundation Europe,"Plage de la Courtade Hy?res, 83400 Hy?res, France",FR,Mediterranean Sea,82,,,20150326,2015,Cleanup,6.20781,43.0019,6.20881,43.0019
Surfrider Foundation Europe,"185 Avenue de la R?publique, 66650 Banyuls-sur-Mer, France",FR,Mediterranean Sea,82,,,20150326,2015,Cleanup,3.13003,42.4816,3.13103,42.4816
Surfrider Foundation Europe,"220-462 Route Departementale 940, 62200 Boulogne-sur-Mer, France",FR,North-east Atlantic Ocean,70,,,20150326,2015,Cleanup,1.59287,50.7357,1.59387,50.7357
Surfrider Foundation Europe,"220-462 Route Departementale 940, 62200 Boulogne-sur-Mer, France",FR,North-east Atlantic Ocean,70,,,20150326,2015,Cleanup,1.59287,50.7357,1.59387,50.7357
Surfrider Foundation Europe,"124 Via Giuseppe Mazzini, 16031 Bogliasco, Italie",IT,Mediterranean Sea,79,,,20150327,2015,Cleanup,9.07025,44.3776,9.07125,44.3776
Surfrider Foundation Europe,"plage du m?tro, 40220 Tarnos, France",FR,North-east Atlantic Ocean,81,,,20150327,2015,Cleanup,-1.50132,43.5581,-1.50032,43.5581
Surfrider Foundation Europe,"6178 Avenue de la Plage, 62231 Bl?riot-Plage (Sangatte), France",FR,North-east Atlantic Ocean,69,,,20150328,2015,Cleanup,1.82572,50.9612,1.82672,50.9612
Surfrider Foundation Europe,"30B Rue Mor Bras, 56190 Ambon, France",FR,North-east Atlantic Ocean,75,,,20150328,2015,Cleanup,-2.5056,47.5237,-2.5046,47.5237
Surfrider Foundation Europe,"Grande plage, 44760 La Bernerie-en-Retz, France",FR,North-east Atlantic Ocean,75,,,20150328,2015,Cleanup,-2.0382,47.0814,-2.0372,47.0814
Surfrider Foundation Europe,"50 Avenida Mediterr?neo, 46520 Puerto de Sagunto, Espagne",ES,Mediterranean Sea,87,,,20150328,2015,Cleanup,-0.210064,39.6614,-0.209064,39.6614
Surfers Against Sewage,Perranporth,UK,North-east Atlantic Ocean,618,,,20150328,2015,Cleanup,-5.153876141,50.34636655,-5.153412947,50.35191773
Surfers Against Sewage,Bournemouth beach,UK,North-east Atlantic Ocean,2302,Urban,Sandy,20150328,2015,Cleanup,-1.875802102,50.71549257,-1.84353055,50.71987629
